Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,310820,-,-,-,33.45,-112.06,-7,321,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2002,1,1,0,0,0,3.1240177154541016,8.305505371093773
2002,1,1,0,30,0,3.289489507675171,7.969689941406273
2002,1,1,1,0,0,3.4549612998962402,7.633843994140648
2002,1,1,1,30,0,3.446014165878296,7.261621093750023
2002,1,1,2,0,0,3.4370670318603516,6.889428710937523
2002,1,1,2,30,0,3.422180414199829,6.566522216796898
2002,1,1,3,0,0,3.4072937965393066,6.243615722656273
2002,1,1,3,30,0,3.4236693382263184,5.972406005859398
2002,1,1,4,0,0,3.440045118331909,5.701226806640648
2002,1,1,4,30,0,3.4517502784729004,5.376458740234398
2002,1,1,5,0,0,3.4634552001953125,5.051690673828148
2002,1,1,5,30,0,3.501107692718506,4.713708496093773
2002,1,1,6,0,0,3.53875994682312,4.375726318359398
2002,1,1,6,30,0,3.5669870376586914,4.193627929687523
2002,1,1,7,0,0,3.5952141284942627,4.011529541015648
2002,1,1,7,30,0,3.491938829421997,4.982476806640648
2002,1,1,8,0,50,3.3886635303497314,5.953424072265648
2002,1,1,8,30,134,3.0100021362304688,7.814233398437523
2002,1,1,9,0,224,2.631340742111206,9.675073242187523
2002,1,1,9,30,311,2.3223319053649902,12.080560302734398
2002,1,1,10,0,390,2.0133228302001953,14.486047363281273
2002,1,1,10,30,459,1.6783256530761719,16.068597412109398
2002,1,1,11,0,514,1.343328595161438,17.651116943359398
2002,1,1,11,30,555,1.128744125366211,18.422845458984398
2002,1,1,12,0,580,0.9141595363616943,19.194573974609398
2002,1,1,12,30,590,0.6815990209579468,19.530328369140648
2002,1,1,13,0,583,0.4490385055541992,19.866052246093773
2002,1,1,13,30,560,0.27932071685791016,19.714898681640648
2002,1,1,14,0,521,0.10960293561220169,19.563714599609398
2002,1,1,14,30,468,0.35510221123695374,18.983392333984398
2002,1,1,15,0,401,0.6006014943122864,18.403039550781273
2002,1,1,15,30,246,0.9365097284317017,17.158715820312523
2002,1,1,16,0,237,1.2724180221557617,15.914361572265648
2002,1,1,16,30,101,1.5256104469299316,14.307214355468773
2002,1,1,17,0,42,1.7788029909133911,12.700097656250023
2002,1,1,17,30,0,1.673418641090393,12.149682617187523
2002,1,1,18,0,0,1.568034291267395,11.599267578125023
2002,1,1,18,30,0,1.3968701362609863,11.241876220703148
2002,1,1,19,0,0,1.225705862045288,10.884515380859398
2002,1,1,19,30,0,1.4701327085494995,10.604821777343773
2002,1,1,20,0,0,1.714559555053711,10.325128173828148
2002,1,1,20,30,0,2.0863497257232666,10.041101074218773
2002,1,1,21,0,0,2.4581398963928223,9.757104492187523
2002,1,1,21,30,0,2.8330631256103516,9.364343261718773
2002,1,1,22,0,0,3.20798659324646,8.971612548828148
2002,1,1,22,30,0,3.5022618770599365,8.431970214843773
2002,1,1,23,0,0,3.796537160873413,7.892327880859398
2002,1,1,23,30,0,3.9398179054260254,7.376855468750023
