Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,310820,-,-,-,33.45,-112.06,-7,321,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2004,1,1,0,0,0,1.1687390804290771,7.707727050781273
2004,1,1,0,30,0,1.3018832206726074,7.431756591796898
2004,1,1,1,0,0,1.4350273609161377,7.155755615234398
2004,1,1,1,30,0,1.3593904972076416,6.892602539062523
2004,1,1,2,0,0,1.283753752708435,6.629418945312523
2004,1,1,2,30,0,1.0990102291107178,6.367211914062523
2004,1,1,3,0,0,0.9142665863037109,6.105004882812523
2004,1,1,3,30,0,0.7657764554023743,5.948968505859398
2004,1,1,4,0,0,0.6172863245010376,5.792932128906273
2004,1,1,4,30,0,0.7712216377258301,5.689874267578148
2004,1,1,5,0,0,0.9251569509506226,5.586816406250023
2004,1,1,5,30,0,1.295682430267334,5.380914306640648
2004,1,1,6,0,0,1.666208028793335,5.175012207031273
2004,1,1,6,30,0,1.9029911756515503,5.107385253906273
2004,1,1,7,0,0,2.1397743225097656,5.039727783203148
2004,1,1,7,30,0,2.0833005905151367,6.272210693359398
2004,1,1,8,0,14,2.026826858520508,7.504693603515648
2004,1,1,8,30,38,1.7226901054382324,9.601068115234398
2004,1,1,9,0,9,1.4185532331466675,11.697473144531273
2004,1,1,9,30,73,1.4025557041168213,13.314050292968773
2004,1,1,10,0,81,1.3865580558776855,14.930657958984398
2004,1,1,10,30,42,1.5315428972244263,15.756799316406273
2004,1,1,11,0,113,1.676527738571167,16.582910156250023
2004,1,1,11,30,229,1.7580554485321045,16.907189941406273
2004,1,1,12,0,287,1.8395830392837524,17.231469726562523
2004,1,1,12,30,416,1.8548948764801025,17.541040039062523
2004,1,1,13,0,465,1.8702068328857422,17.850579833984398
2004,1,1,13,30,414,1.7995343208312988,17.807916259765648
2004,1,1,14,0,511,1.728861927986145,17.765222167968773
2004,1,1,14,30,458,1.666888952255249,17.312402343750023
2004,1,1,15,0,392,1.6049160957336426,16.859552001953148
2004,1,1,15,30,315,1.4802489280700684,15.907617187500023
2004,1,1,16,0,231,1.3555817604064941,14.955651855468773
2004,1,1,16,30,121,1.0466327667236328,13.713342285156273
2004,1,1,17,0,49,0.7376837134361267,12.471032714843773
2004,1,1,17,30,0,0.5231897830963135,12.165093994140648
2004,1,1,18,0,0,0.30869588255882263,11.859155273437523
2004,1,1,18,30,0,0.2951171398162842,11.702050781250023
2004,1,1,19,0,0,0.28153836727142334,11.544915771484398
2004,1,1,19,30,0,0.41532179713249207,11.424310302734398
2004,1,1,20,0,0,0.5491052269935608,11.303704833984398
2004,1,1,20,30,0,0.5980383157730103,11.186944580078148
2004,1,1,21,0,0,0.6469714045524597,11.070153808593773
2004,1,1,21,30,0,0.7305067777633667,10.822015380859398
