Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,310820,-,-,-,33.45,-112.06,-7,321,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2006,1,1,0,0,0,3.211095094680786,10.054406738281273
2006,1,1,0,30,0,3.066709518432617,9.702874755859398
2006,1,1,1,0,0,2.922323703765869,9.351373291015648
2006,1,1,1,30,0,2.6715309619903564,8.966210937500023
2006,1,1,2,0,0,2.4207382202148438,8.581048583984398
2006,1,1,2,30,0,2.1143486499786377,8.225732421875023
2006,1,1,3,0,0,1.8079590797424316,7.870416259765648
2006,1,1,3,30,0,1.6118838787078857,7.597833251953148
2006,1,1,4,0,0,1.4158087968826294,7.325280761718773
2006,1,1,4,30,0,1.4233999252319336,7.151818847656273
2006,1,1,5,0,0,1.4309909343719482,6.978387451171898
2006,1,1,5,30,0,1.5149474143981934,6.863824462890648
2006,1,1,6,0,0,1.598903775215149,6.749230957031273
2006,1,1,6,30,0,1.7225549221038818,6.835473632812523
2006,1,1,7,0,0,1.8462060689926147,6.921716308593773
2006,1,1,7,30,0,2.034376621246338,8.325860595703148
2006,1,1,8,0,31,2.2225470542907715,9.729974365234398
2006,1,1,8,30,84,2.1285219192504883,11.525628662109398
2006,1,1,9,0,151,2.034497022628784,13.321252441406273
2006,1,1,9,30,236,1.6880770921707153,15.216760253906273
2006,1,1,10,0,392,1.3416571617126465,17.112237548828148
2006,1,1,10,30,460,1.3291864395141602,18.219537353515648
2006,1,1,11,0,408,1.3167157173156738,19.326806640625023
2006,1,1,11,30,556,1.4268672466278076,19.972375488281273
2006,1,1,12,0,582,1.5370186567306519,20.617944335937523
2006,1,1,12,30,509,1.6518917083740234,20.460961914062523
2006,1,1,13,0,584,1.7667646408081055,20.303979492187523
2006,1,1,13,30,443,1.8019299507141113,19.975488281250023
2006,1,1,14,0,431,1.8370953798294067,19.646997070312523
2006,1,1,14,30,419,1.7921323776245117,18.995996093750023
2006,1,1,15,0,304,1.7471692562103271,18.344995117187523
2006,1,1,15,30,197,1.6983332633972168,17.534448242187523
2006,1,1,16,0,107,1.649497151374817,16.723870849609398
2006,1,1,16,30,33,1.297155737876892,15.830194091796898
2006,1,1,17,0,13,0.9448143839836121,14.936547851562523
2006,1,1,17,30,0,0.4777282476425171,14.679376220703148
2006,1,1,18,0,0,0.01064209919422865,14.422235107421898
2006,1,1,18,30,0,0.31927016377449036,14.159356689453148
2006,1,1,19,0,0,0.6278982162475586,13.896508789062523
2006,1,1,19,30,0,0.8530381321907043,13.668756103515648
2006,1,1,20,0,0,1.07817804813385,13.441003417968773
2006,1,1,20,30,0,1.1953773498535156,13.121087646484398
2006,1,1,21,0,0,1.3125766515731812,12.801141357421898
2006,1,1,21,30,0,1.3666026592254639,12.441552734375023
2006,1,1,22,0,0,1.4206286668777466,12.081964111328148
2006,1,1,22,30,0,1.418879747390747,11.819726562500023
2006,1,1,23,0,0,1.417130708694458,11.557489013671898
2006,1,1,23,30,0,1.407006025314331,11.355767822265648
2006,1,2,0,0,0,1.3968814611434937,11.154016113281273
2006,1,2,0,30,0,1.4099032878875732,10.997583007812523
2006,1,2,1,0,0,1.4229252338409424,10.841149902343773
2006,1,2,1,30,0,1.4293079376220703,10.728326416015648
2006,1,2,2,0,0,1.4356905221939087,10.615472412109398
2006,1,2,2,30,0,1.4255870580673218,10.516290283203148
2006,1,2,3,0,0,1.4154835939407349,10.417108154296898
2006,1,2,3,30,0,1.42238450050354,10.312219238281273
2006,1,2,4,0,0,1.4292854070663452,10.207330322265648
2006,1,2,4,30,0,1.486578345298767,10.111108398437523
2006,1,2,5,0,0,1.543871283531189,10.014886474609398
2006,1,2,5,30,0,1.626476526260376,9.910821533203148
2006,1,2,6,0,0,1.7090816497802734,9.806756591796898
2006,1,2,6,30,0,1.8010036945343018,9.818750000000023
2006,1,2,7,0,0,1.8929258584976196,9.830773925781273
2006,1,2,7,30,0,1.9829213619232178,11.145104980468773
2006,1,2,8,0,29,2.0729169845581055,12.459436035156273
2006,1,2,8,30,78,1.9875314235687256,14.274468994140648
2006,1,2,9,0,127,1.9021459817886353,16.089501953125023
2006,1,2,9,30,210,2.0532257556915283,17.971337890625023
2006,1,2,10,0,286,2.204305410385132,19.853173828125023
2006,1,2,10,30,342,2.529606819152832,21.125421142578148
2006,1,2,11,0,508,2.854907989501953,22.397668457031273
2006,1,2,11,30,548,3.1194067001342773,22.821557617187523
2006,1,2,12,0,573,3.3839051723480225,23.245446777343773
2006,1,2,12,30,581,3.599275827407837,23.451745605468773
2006,1,2,13,0,574,3.8146464824676514,23.658074951171898
2006,1,2,13,30,551,3.900393009185791,23.534661865234398
2006,1,2,14,0,512,3.9861395359039307,23.411248779296898
2006,1,2,14,30,459,4.036150932312012,22.960015869140648
2006,1,2,15,0,338,4.086162090301514,22.508782958984398
2006,1,2,15,30,125,3.993379592895508,21.649255371093773
2006,1,2,16,0,133,3.900597095489502,20.789758300781273
2006,1,2,16,30,23,3.928910255432129,19.696343994140648
2006,1,2,17,0,9,3.957223653793335,18.602929687500023
2006,1,2,17,30,0,4.041611194610596,18.005334472656273
2006,1,2,18,0,0,4.1259989738464355,17.407769775390648
2006,1,2,18,30,0,4.117091655731201,16.879937744140648
2006,1,2,19,0,0,4.108184337615967,16.352105712890648
2006,1,2,19,30,0,4.045760154724121,15.948632812500023
2006,1,2,20,0,0,3.9833359718322754,15.545190429687523
2006,1,2,20,30,0,3.884106159210205,15.267510986328148
2006,1,2,21,0,0,3.7848763465881348,14.989862060546898
2006,1,2,21,30,0,3.6776506900787354,14.769403076171898
2006,1,2,22,0,0,3.570425033569336,14.548974609375023
2006,1,2,22,30,0,3.5047519207000732,14.347314453125023
2006,1,2,23,0,0,3.4390788078308105,14.145623779296898
2006,1,2,23,30,0,3.3714871406555176,13.940148925781273
2006,1,3,0,0,0,3.3038957118988037,13.734643554687523
2006,1,3,0,30,0,3.235912561416626,13.529595947265648
2006,1,3,1,0,0,3.1679294109344482,13.324548339843773
