Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,445339,-,-,-,35.65,-106.02,-7,1999,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2010,1,1,0,0,0,2.8907012939453125,-8.807836914062477
2010,1,1,0,30,0,2.9693100452423096,-8.975958251953102
2010,1,1,1,0,0,3.0479187965393066,-9.144079589843727
2010,1,1,1,30,0,3.151831865310669,-9.263677978515602
2010,1,1,2,0,0,3.2557449340820312,-9.383276367187477
2010,1,1,2,30,0,3.3356857299804688,-9.452703857421852
2010,1,1,3,0,0,3.4156267642974854,-9.522131347656227
2010,1,1,3,30,0,3.4705352783203125,-9.535314941406227
2010,1,1,4,0,0,3.5254440307617188,-9.548529052734352
2010,1,1,4,30,0,3.557159423828125,-9.505468749999977
2010,1,1,5,0,0,3.5888750553131104,-9.462438964843727
2010,1,1,5,30,0,3.5934479236602783,-9.380865478515602
2010,1,1,6,0,0,3.5980207920074463,-9.299261474609352
2010,1,1,6,30,0,3.5696256160736084,-8.999609374999977
2010,1,1,7,0,0,3.5412304401397705,-8.699926757812477
2010,1,1,7,30,25,3.386362314224243,-7.414984130859352
2010,1,1,8,0,104,3.231494188308716,-6.130010986328102
2010,1,1,8,30,194,3.0673646926879883,-4.215612792968727
2010,1,1,9,0,282,2.90323543548584,-2.3011840820312273
2010,1,1,9,30,363,2.854008436203003,-0.35614624023435226
2010,1,1,10,0,433,2.804781436920166,1.5888916015625227
2010,1,1,10,30,491,2.7052206993103027,2.9757934570312727
2010,1,1,11,0,534,2.6056599617004395,4.362725830078148
2010,1,1,11,30,562,2.4718875885009766,5.125939941406273
2010,1,1,12,0,574,2.3381149768829346,5.889154052734398
2010,1,1,12,30,570,2.199963092803955,6.115747070312523
