Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,445339,-,-,-,35.65,-106.02,-7,1999,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2015,1,1,0,0,0,2.6524417400360107,-7.610510253906227
2015,1,1,0,30,0,2.8022241592407227,-7.840399169921852
2015,1,1,1,0,0,2.9520065784454346,-8.070288085937477
2015,1,1,1,30,0,3.0222272872924805,-8.144079589843727
2015,1,1,2,0,0,3.0924479961395264,-8.217871093749977
2015,1,1,2,30,0,3.1497340202331543,-8.284826660156227
2015,1,1,3,0,0,3.2070202827453613,-8.351751708984352
2015,1,1,3,30,0,3.2355973720550537,-8.373632812499977
2015,1,1,4,0,0,3.264174461364746,-8.395513916015602
2015,1,1,4,30,0,3.2732901573181152,-8.370916748046852
2015,1,1,5,0,0,3.2824060916900635,-8.346319580078102
2015,1,1,5,30,0,3.232542037963867,-8.385504150390602
2015,1,1,6,0,0,3.18267822265625,-8.424688720703102
2015,1,1,6,30,0,3.1150732040405273,-8.235083007812477
2015,1,1,7,0,0,3.0474681854248047,-8.045507812499977
2015,1,1,7,30,9,2.855168342590332,-7.173773193359352
2015,1,1,8,0,38,2.6628682613372803,-6.302038574218727
2015,1,1,8,30,72,2.6222522258758545,-5.072576904296852
2015,1,1,9,0,80,2.5816361904144287,-3.8431152343749773
2015,1,1,9,30,232,2.6201953887939453,-2.8808959960937273
2015,1,1,10,0,440,2.658754587173462,-1.9186462402343523
2015,1,1,10,30,499,2.6643259525299072,-1.4455932617187273
2015,1,1,11,0,544,2.6698973178863525,-0.9725402832031023
2015,1,1,11,30,573,2.6035752296447754,-0.9303344726562273
2015,1,1,12,0,586,2.5372533798217773,-0.8881591796874773
2015,1,1,12,30,582,2.4376933574676514,-0.9706481933593523
2015,1,1,13,0,563,2.3381333351135254,-1.0531372070312273
2015,1,1,13,30,527,2.3027801513671875,-1.2863220214843523
2015,1,1,14,0,476,2.2674267292022705,-1.5195373535156023
2015,1,1,14,30,411,2.2428348064422607,-1.9801391601562273
2015,1,1,15,0,334,2.218242883682251,-2.4407409667968523
2015,1,1,15,30,247,2.0823676586151123,-3.1754516601562273
2015,1,1,16,0,156,1.946492314338684,-3.9101318359374773
2015,1,1,16,30,66,1.7662081718444824,-4.467596435546852
2015,1,1,17,0,0,1.5859241485595703,-5.025030517578102
2015,1,1,17,30,0,1.5190503597259521,-5.456182861328102
2015,1,1,18,0,0,1.4521764516830444,-5.887304687499977
2015,1,1,18,30,0,1.4377855062484741,-6.381109619140602
2015,1,1,19,0,0,1.4233945608139038,-6.874884033203102
2015,1,1,19,30,0,1.42436683177948,-7.320196533203102
2015,1,1,20,0,0,1.4253391027450562,-7.765509033203102
2015,1,1,20,30,0,1.45302414894104,-8.069891357421852
2015,1,1,21,0,0,1.4807093143463135,-8.374304199218727
2015,1,1,21,30,0,1.5728532075881958,-8.497259521484352
2015,1,1,22,0,0,1.6649971008300781,-8.620245361328102
2015,1,1,22,30,0,1.8000538349151611,-8.651831054687477
2015,1,1,23,0,0,1.9351104497909546,-8.683386230468727
2015,1,1,23,30,0,2.0676918029785156,-8.700781249999977
