Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,315696,-,-,-,33.41,-111.82,-7,381,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2006,1,1,0,0,0,3.211095094680786,9.936395263671898
2006,1,1,0,30,0,3.066709518432617,9.596063232421898
2006,1,1,1,0,0,2.922323703765869,9.255731201171898
2006,1,1,1,30,0,2.6715309619903564,8.895806884765648
2006,1,1,2,0,0,2.4207382202148438,8.535882568359398
2006,1,1,2,30,0,2.1143486499786377,8.226098632812523
2006,1,1,3,0,0,1.8079590797424316,7.916314697265648
2006,1,1,3,30,0,1.6118838787078857,7.659295654296898
2006,1,1,4,0,0,1.4158087968826294,7.402276611328148
2006,1,1,4,30,0,1.4233999252319336,7.224420166015648
2006,1,1,5,0,0,1.4309909343719482,7.046594238281273
2006,1,1,5,30,0,1.5149474143981934,6.912683105468773
2006,1,1,6,0,0,1.598903775215149,6.778771972656273
2006,1,1,6,30,0,1.7225549221038818,6.848352050781273
2006,1,1,7,0,0,1.8462060689926147,6.917962646484398
2006,1,1,7,30,0,2.034376621246338,8.225213623046898
2006,1,1,8,0,34,2.2225470542907715,9.532464599609398
2006,1,1,8,30,88,2.1285219192504883,11.344110107421898
2006,1,1,9,0,28,2.034497022628784,13.155755615234398
2006,1,1,9,30,286,1.6880770921707153,15.046929931640648
2006,1,1,10,0,395,1.3416571617126465,16.938104248046898
2006,1,1,10,30,463,1.3291864395141602,18.060479736328148
2006,1,1,11,0,518,1.3167157173156738,19.182824707031273
2006,1,1,11,30,558,1.4268672466278076,19.831781005859398
2006,1,1,12,0,583,1.5370186567306519,20.480737304687523
2006,1,1,12,30,592,1.6518917083740234,20.357690429687523
2006,1,1,13,0,584,1.7667646408081055,20.234613037109398
2006,1,1,13,30,455,1.8019299507141113,19.897760009765648
2006,1,1,14,0,372,1.8370953798294067,19.560906982421898
