Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,315696,-,-,-,33.41,-111.82,-7,381,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2001,1,1,0,0,0,2.660923480987549,9.771325683593773
2001,1,1,0,30,0,2.6824774742126465,9.428247070312523
2001,1,1,1,0,0,2.704031229019165,9.085168457031273
2001,1,1,1,30,0,2.776867389678955,8.644189453125023
2001,1,1,2,0,0,2.849703788757324,8.203210449218773
2001,1,1,2,30,0,3.0459485054016113,7.809655761718773
2001,1,1,3,0,0,3.2421932220458984,7.416131591796898
2001,1,1,3,30,0,3.4971556663513184,7.158258056640648
2001,1,1,4,0,0,3.752117872238159,6.900384521484398
2001,1,1,4,30,0,3.917663097381592,6.619775390625023
2001,1,1,5,0,0,4.083208084106445,6.339166259765648
2001,1,1,5,30,0,4.132830619812012,5.987084960937523
2001,1,1,6,0,0,4.18245267868042,5.635003662109398
2001,1,1,6,30,0,4.187318801879883,5.362481689453148
2001,1,1,7,0,0,4.192184925079346,5.089929199218773
2001,1,1,7,30,0,4.062714099884033,5.684686279296898
2001,1,1,8,0,39,3.9332432746887207,6.279412841796898
2001,1,1,8,30,101,3.6140379905700684,7.599664306640648
2001,1,1,9,0,105,3.294832468032837,8.919885253906273
2001,1,1,9,30,260,2.952216625213623,10.691033935546898
2001,1,1,10,0,336,2.6096010208129883,12.462182617187523
2001,1,1,10,30,411,2.323208808898926,14.347924804687523
2001,1,1,11,0,467,2.0368165969848633,16.233666992187523
2001,1,1,11,30,441,1.6879339218139648,17.697320556640648
2001,1,1,12,0,471,1.339051365852356,19.160974121093773
2001,1,1,12,30,483,0.9513146281242371,19.868554687500023
2001,1,1,13,0,472,0.5635778903961182,20.576135253906273
2001,1,1,13,30,455,0.4028061628341675,20.513696289062523
2001,1,1,14,0,405,0.2420344203710556,20.451257324218773
2001,1,1,14,30,388,0.5128743052482605,19.813470458984398
2001,1,1,15,0,301,0.7837141752243042,19.175653076171898
2001,1,1,15,30,266,1.121917486190796,17.897943115234398
2001,1,1,16,0,181,1.4601209163665771,16.620233154296898
2001,1,1,16,30,113,1.6313366889953613,15.544976806640648
2001,1,1,17,0,46,1.802552580833435,14.469720458984398
2001,1,1,17,30,0,1.8562055826187134,14.088494873046898
2001,1,1,18,0,0,1.9098585844039917,13.707269287109398
2001,1,1,18,30,0,1.9341940879821777,13.422357177734398
2001,1,1,19,0,0,1.9585294723510742,13.137445068359398
2001,1,1,19,30,0,1.958077073097229,12.923089599609398
2001,1,1,20,0,0,1.9576246738433838,12.708734130859398
2001,1,1,20,30,0,1.964510440826416,12.497888183593773
2001,1,1,21,0,0,1.9713960886001587,12.287072753906273
2001,1,1,21,30,0,2.021531105041504,11.911553955078148
2001,1,1,22,0,0,2.0716660022735596,11.536035156250023
2001,1,1,22,30,0,2.233302593231201,10.945581054687523
2001,1,1,23,0,0,2.3949391841888428,10.355126953125023
2001,1,1,23,30,0,2.672926902770996,9.657617187500023
2001,1,2,0,0,0,2.9509148597717285,8.960107421875023
2001,1,2,0,30,0,3.266385316848755,8.287896728515648
2001,1,2,1,0,0,3.5818557739257812,7.615655517578148
2001,1,2,1,30,0,3.807384967803955,7.118890380859398
2001,1,2,2,0,0,4.032914161682129,6.622125244140648
2001,1,2,2,30,0,4.14351749420166,6.226647949218773
2001,1,2,3,0,0,4.254120826721191,5.831170654296898
2001,1,2,3,30,0,4.27352237701416,5.444177246093773
2001,1,2,4,0,0,4.292923927307129,5.057183837890648
2001,1,2,4,30,0,4.283230781555176,4.731530761718773
2001,1,2,5,0,0,4.273538112640381,4.405877685546898
2001,1,2,5,30,0,4.264487266540527,4.163751220703148
2001,1,2,6,0,0,4.255435943603516,3.9216247558593977
2001,1,2,6,30,0,4.259246826171875,3.8458496093750227
2001,1,2,7,0,0,4.263057708740234,3.7700744628906477
2001,1,2,7,30,0,4.151257038116455,4.841149902343773
2001,1,2,8,0,53,4.039456367492676,5.912225341796898
2001,1,2,8,30,140,3.738222599029541,7.937615966796898
2001,1,2,9,0,105,3.436988592147827,9.963006591796898
2001,1,2,9,30,321,3.219686985015869,12.558892822265648
2001,1,2,10,0,401,3.002385377883911,15.154779052734398
2001,1,2,10,30,470,2.9217734336853027,17.375756835937523
2001,1,2,11,0,526,2.8411614894866943,19.596734619140648
2001,1,2,11,30,568,2.7060370445251465,20.803521728515648
2001,1,2,12,0,593,2.5709128379821777,22.010278320312523
2001,1,2,12,30,602,2.4835267066955566,22.402612304687523
2001,1,2,13,0,595,2.3961405754089355,22.794946289062523
2001,1,2,13,30,571,2.4368090629577637,22.693505859375023
2001,1,2,14,0,532,2.477477550506592,22.592065429687523
2001,1,2,14,30,477,2.515171527862549,22.061914062500023
2001,1,2,15,0,409,2.5528652667999268,21.531762695312523
2001,1,2,15,30,330,2.5069215297698975,20.066308593750023
