Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,315696,-,-,-,33.41,-111.82,-7,381,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2009,1,1,0,0,0,1.4148530960083008,10.252160644531273
2009,1,1,0,30,0,1.465926170349121,10.047143554687523
2009,1,1,1,0,0,1.516999363899231,9.842156982421898
2009,1,1,1,30,0,1.4856736660003662,9.614892578125023
2009,1,1,2,0,0,1.454348087310791,9.387658691406273
2009,1,1,2,30,0,1.4348864555358887,9.120416259765648
2009,1,1,3,0,0,1.4154248237609863,8.853143310546898
2009,1,1,3,30,0,1.4224841594696045,8.579431152343773
2009,1,1,4,0,0,1.4295436143875122,8.305688476562523
2009,1,1,4,30,0,1.4890060424804688,8.059625244140648
2009,1,1,5,0,0,1.5484685897827148,7.813562011718773
2009,1,1,5,30,0,1.6391918659210205,7.616845703125023
2009,1,1,6,0,0,1.7299151420593262,7.420098876953148
2009,1,1,6,30,0,1.8048957586288452,7.368127441406273
2009,1,1,7,0,0,1.8798763751983643,7.316156005859398
2009,1,1,7,30,0,2.002139091491699,8.732324218750023
2009,1,1,8,0,55,2.124401807785034,10.148492431640648
2009,1,1,8,30,142,2.098431348800659,11.937890625000023
2009,1,1,9,0,235,2.072460889816284,13.727319335937523
2009,1,1,9,30,324,1.7913620471954346,15.364038085937523
2009,1,1,10,0,404,1.5102630853652954,17.000787353515648
2009,1,1,10,30,473,1.2050033807754517,18.415460205078148
2009,1,1,11,0,529,0.8997436761856079,19.830133056640648
2009,1,1,11,30,570,0.667312502861023,20.620996093750023
2009,1,1,12,0,595,0.4348813593387604,21.411889648437523
2009,1,1,12,30,604,0.41312891244888306,21.750939941406273
2009,1,1,13,0,596,0.39137643575668335,22.090020751953148
2009,1,1,13,30,572,0.4499066174030304,21.957452392578148
