Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,315696,-,-,-,33.41,-111.82,-7,381,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2010,1,1,0,0,0,4.36126708984375,4.150201416015648
2010,1,1,0,30,0,4.3534650802612305,4.091638183593773
2010,1,1,1,0,0,4.345663547515869,4.033074951171898
2010,1,1,1,30,0,4.387246131896973,4.154229736328148
2010,1,1,2,0,0,4.428828239440918,4.275384521484398
2010,1,1,2,30,0,4.4670305252075195,4.385430908203148
2010,1,1,3,0,0,4.505232334136963,4.495446777343773
2010,1,1,3,30,0,4.510524749755859,4.475885009765648
2010,1,1,4,0,0,4.515817642211914,4.456323242187523
2010,1,1,4,30,0,4.506551742553711,4.345635986328148
2010,1,1,5,0,0,4.497286319732666,4.234918212890648
2010,1,1,5,30,0,4.492863655090332,4.074914550781273
2010,1,1,6,0,0,4.48844051361084,3.9148803710937727
2010,1,1,6,30,0,4.489982604980469,3.8084960937500227
2010,1,1,7,0,0,4.491525173187256,3.7021118164062727
2010,1,1,7,30,0,4.359827041625977,4.478784179687523
2010,1,1,8,0,53,4.228128910064697,5.255456542968773
2010,1,1,8,30,139,3.861072540283203,6.874322509765648
2010,1,1,9,0,231,3.494016408920288,8.493188476562523
2010,1,1,9,30,319,3.245880603790283,10.820611572265648
2010,1,1,10,0,399,2.9977447986602783,13.148034667968773
2010,1,1,10,30,468,2.871485710144043,15.115167236328148
2010,1,1,11,0,524,2.7452266216278076,17.082299804687523
2010,1,1,11,30,565,2.5497889518737793,18.247491455078148
2010,1,1,12,0,590,2.354351282119751,19.412683105468773
2010,1,1,12,30,599,2.0528063774108887,19.980035400390648
2010,1,1,13,0,591,1.7512617111206055,20.547387695312523
2010,1,1,13,30,567,1.4344991445541382,20.587335205078148
2010,1,1,14,0,527,1.117736577987671,20.627282714843773
2010,1,1,14,30,472,0.8063199520111084,20.137261962890648
2010,1,1,15,0,404,0.4949032962322235,19.647241210937523
2010,1,1,15,30,325,0.4314759373664856,18.192834472656273
2010,1,1,16,0,238,0.3680485486984253,16.738427734375023
2010,1,1,16,30,146,0.6313921809196472,15.100396728515648
2010,1,1,17,0,59,0.8947358131408691,13.462365722656273
2010,1,1,17,30,0,1.291630506515503,12.921228027343773
2010,1,1,18,0,0,1.6885250806808472,12.380090332031273
2010,1,1,18,30,0,2.0889077186584473,11.925622558593773
2010,1,1,19,0,0,2.489290237426758,11.471124267578148
2010,1,1,19,30,0,2.67409610748291,11.037133789062523
2010,1,1,20,0,0,2.8589019775390625,10.603143310546898
2010,1,1,20,30,0,2.895012617111206,10.202844238281273
2010,1,1,21,0,0,2.9311232566833496,9.802575683593773
2010,1,1,21,30,0,2.92718243598938,9.541284179687523
2010,1,1,22,0,0,2.92324161529541,9.279992675781273
2010,1,1,22,30,0,2.9173479080200195,9.257623291015648
2010,1,1,23,0,0,2.911454200744629,9.235284423828148
2010,1,1,23,30,0,2.8880932331085205,9.427575683593773
2010,1,2,0,0,0,2.864732265472412,9.619866943359398
2010,1,2,0,30,0,2.8503005504608154,9.759393310546898
2010,1,2,1,0,0,2.8358688354492188,9.898919677734398
2010,1,2,1,30,0,2.8581347465515137,9.849816894531273
2010,1,2,2,0,0,2.8804004192352295,9.800683593750023
2010,1,2,2,30,0,2.91348934173584,9.632684326171898
2010,1,2,3,0,0,2.9465785026550293,9.464685058593773
2010,1,2,3,30,0,2.9545016288757324,9.254357910156273
2010,1,2,4,0,0,2.9624247550964355,9.044061279296898
2010,1,2,4,30,0,2.94722843170166,8.618615722656273
2010,1,2,5,0,0,2.932032346725464,8.193170166015648
2010,1,2,5,30,0,2.91043758392334,7.699426269531273
2010,1,2,6,0,0,2.8888425827026367,7.205682373046898
2010,1,2,6,30,0,2.861088514328003,7.058435058593773
2010,1,2,7,0,0,2.833334445953369,6.911187744140648
2010,1,2,7,30,0,2.859792470932007,8.252099609375023
2010,1,2,8,0,53,2.8862504959106445,9.593011474609398
2010,1,2,8,30,139,2.6913416385650635,11.269677734375023
2010,1,2,9,0,231,2.4964327812194824,12.946374511718773
2010,1,2,9,30,319,2.2600584030151367,14.743280029296898
2010,1,2,10,0,399,2.023683786392212,16.540185546875023
